Signal||LicencePlate||TotalRides||TotalDistance||TotalAmountCach||TotalAmountCachLess||TotalAmount||TotalAmountWithoutComission||Bonuses
368808||KA1644CT||11||129||487||1349||1836||348.84||0
0||||14||162||862||1451||2313||439.47||0
0||||8||85||511||735||1246||236.74||0
372353||AA3108YA||21||206||1265||1992||3257||618.83||0
357339||KA6047EI||1||7||113||0||113||21.47||0
374707||AA3410YA||11||104||571||1068||1639||311.41||0
0||||22||206||817||2426||3243||616.17||0
0||||21||185||867||2268||3135||595.65||0
