Signal||LicencePlate||TotalRides||TotalDistance||TotalAmountCach||TotalAmountCachLess||TotalAmount||TotalAmountWithoutComission||Bonuses
368808||KA1644CT||16||194||1591.000000||1156.000000||2747.000000||466.990000||0
324460||KA8443EA||2||16||97.000000||146.000000||243.000000||41.310000||0
372353||AA3108YA||42||378||2983.000000||2937.000000||5920.000000||1006.400000||0
374707||AA3410YA||1||13||0.000000||195.000000||195.000000||33.150000||0
362612||KA4897EM||52||462||2658.000000||4509.000000||7167.000000||1218.390000||0
